Town,Stadium,07/06/2008,,,,08/06/2008,,,,09/06/2008,,,,10/06/2008,,,,11/06/2008,,,,12/06/2008,,,,13/06/2008,,,,14/06/2008,,,,15/06/2008,,,,16/06/2008,,,,17/06/2008,,,,18/06/2008,,,,19/06/2008,,,,20/06/2008,,,,21/06/2008,,,,22/06/2008,,,,25/06/2008,,,,26/06/2008,,,,29/06/2008,,,
Basel,St. Jakob-Park,1,18:00:00,A1,A2,,,,,,,,,,,,,9,20:45:00,A2,A3,,,,,,,,,,,,,17,20:45:00,A1,A3,,,,,,,,,,,,,25,20:45:00,1A,2B,,,,,27,20:45:00,1C,2D,28,20:45:00,1D,2C,29,20:45:00,1,2,,,,,,,,
Geneva,Stade de Genève,2,20:45:00,A3,A4,,,,,,,,,,,,,10,18:00:00,A1,A4,,,,,,,,,,,,,18,20:45:00,A4,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vienna,Ernst Happel Stadion,,,,,3,18:00:00,B1,B2,,,,,,,,,,,,,11,17:45:00,B2,B3,,,,,,,,,,,,,19,20:45:00,B4,B2,,,,,,,,,,,,,26,20:45:00,1B,2A,,,,,,,,,,,,,30,20:45:00,3,4,31,20:45:00,W1,W2
Klagenfurt,Hypo-Arena,,,,,4,20:45:00,B3,B4,,,,,,,,,,,,,12,20:45:00,B1,B4,,,,,,,,,,,,,20,20:45:00,B1,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zurich,Letzigrund,,,,,,,,,5,18:00:00,C1,C2,,,,,,,,,,,,,13,18:00:00,C4,C1,,,,,,,,,,,,,21,20:45:00,C3,C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berne,Stade de Suisse,,,,,,,,,6,20:45:00,C3,C4,,,,,,,,,,,,,14,20:45:00,C3,C2,,,,,,,,,,,,,22,20:45:00,C2,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innsbruck,Tivoli Neu,,,,,,,,,,,,,7,18:00:00,D1,D2,,,,,,,,,,,,,15,18:00:00,D4,D1,,,,,,,,,,,,,23,20:45:00,D3,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salzburg,Wals-Siezenheim-Stadion,,,,,,,,,,,,,8,20:45:00,D3,D4,,,,,,,,,,,,,16,20:45:00,D3,D2,,,,,,,,,,,,,24,20:45:00,D2,D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
