Town,Stadium,08/06/2012,,,,09/06/2012,,,,10/06/2012,,,,11/06/2012,,,,12/06/2012,,,,13/06/2012,,,,14/06/2012,,,,15/06/2012,,,,16/06/2012,,,,17/06/2012,,,,18/06/2012,,,,19/06/2012,,,,21/06/2012,,,,22/06/2012,,,,23/06/2012,,,,24/06/2012,,,,27/06/2012,,,,28/06/2012,,,,01/07/2012,,,
Warsaw,National Stadium,1,18:00:00,A1,A2,,,,,,,,,,,,,10,20:45:00,A1,A3,,,,,,,,,,,,,18,20:45:00,A2,A3,,,,,,,,,,,,,25,20:45:00,1A,2B,,,,,,,,,,,,,,,,,30,20:45:00,2,4,,,,
Wroclaw,Municipal Stadium,2,20:45:00,A3,A4,,,,,,,,,,,,,9,18:00:00,A2,A4,,,,,,,,,,,,,17,20:45:00,A4,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gdansk,PGE Arena,,,,,,,,,5,18:00:00,C1,C2,,,,,,,,,,,,,14,20:45:00,C1,C3,,,,,,,,,,,,,21,20:45:00,C4,C1,,,,,,,,,26,20:45:00,1B,2A,,,,,,,,,,,,,,,,,,,,
Poznan,Municipal Stadium,,,,,,,,,6,20:45:00,C3,C4,,,,,,,,,,,,,13,18:00:00,C2,C4,,,,,,,,,,,,,22,20:45:00,C2,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyiv,Olympic Stadium,,,,,,,,,,,,,8,21:45:00,D1,D2,,,,,,,,,,,,,15,21:45:00,D2,D4,,,,,,,,,,,,,24,21:45:00,D2,D3,,,,,,,,,,,,,28,21:45:00,1D,2C,,,,,,,,,31,21:45:00,W1,W2
Donetsk,Donbass Arena,,,,,,,,,,,,,7,19:00:00,D3,D4,,,,,,,,,,,,,16,19:00:00,D1,D3,,,,,,,,,,,,,23,21:45:00,D4,D1,,,,,,,,,27,21:45:00,1C,2D,,,,,29,21:45:00,1,3,,,,,,,,
Kharkiv,Metalist Stadium,,,,,3,19:00:00,B1,B2,,,,,,,,,,,,,12,21:45:00,B1,B3,,,,,,,,,,,,,19,21:45:00,B4,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lviv,Arena Lviv,,,,,4,21:45:00,B3,B4,,,,,,,,,,,,,11,19:00:00,B2,B4,,,,,,,,,,,,,20,21:45:00,B2,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
